    n    m             Cnm                      Snm  
    7    6   -0.358798423464889E-06    0.151798257443669E-06 
    7    7    0.150746472872675E-08    0.241068767286303E-07 
    8    0    0.494756003005199E-07    0.000000000000000E+00 
    8    1    0.231607991248329E-07    0.588974540927606E-07 
    8    2    0.800143604736599E-07    0.652805043667369E-07 
    8    3   -0.193745381715290E-07   -0.859639339125694E-07 
    8    4   -0.244360480007096E-06    0.698072508472777E-07 
    8    5   -0.257011477267991E-07    0.892034891745881E-07 
    8    6   -0.659648680031408E-07    0.308946730783065E-06 
    8    7    0.672569751771483E-07    0.748686063738231E-07 
    8    8   -0.124022771917136E-06    0.120551889384997E-06 
    9    0    0.280180753216300E-07    0.000000000000000E+00 
    9    1    0.142151377236084E-06    0.214004665077510E-07 
    9    2    0.214144381199757E-07   -0.316984195352417E-07 
    9    3   -0.160612356882835E-06   -0.742658786809216E-07 
    9    4   -0.936529556592536E-08    0.199026740710063E-07 
    9    5   -0.163134050605937E-07   -0.540394840426217E-07 
    9    6    0.627879491161446E-07    0.222962377434615E-06 
    9    7   -0.117983924385618E-06   -0.969222126840068E-07 
    9    8    0.188136188986452E-06   -0.300538974811744E-08 
    9    9   -0.475568433357652E-07    0.968804214389955E-07 
   10    0    0.533304381729473E-07    0.000000000000000E+00 
   10    1    0.837623112620412E-07   -0.131092332261065E-06 
   10    2   -0.939894766092874E-07   -0.512746772537482E-07 
   10    3   -0.700709997317429E-08   -0.154139929404373E-06 
   10    4   -0.844715388074630E-07   -0.790255527979406E-07 
   10    5   -0.492894049964295E-07   -0.506137282060864E-07 
   10    6   -0.375849022022301E-07   -0.797688616388143E-07 
   10    7    0.826209286523474E-08   -0.304903703914366E-08 
   10    8    0.405981624580941E-07   -0.917138622482163E-07 
   10    9    0.125376631604340E-06   -0.379436584841270E-07 
   10   10    0.100435991936118E-06   -0.238596204211893E-07 
   11    0   -0.507683787085927E-07    0.000000000000000E+00 
   11    1    0.156127678638183E-07   -0.271235374123689E-07 
   11    2    0.201135250154855E-07   -0.990003954905590E-07 
   11    3   -0.305773531606647E-07   -0.148835345047152E-06 
   11    4   -0.379499015091407E-07   -0.637669897493018E-07 
   11    5    0.374192407050580E-07    0.495908160271967E-07 
   11    6   -0.156429128694775E-08    0.342735099884706E-07 
   11    7    0.465461661449953E-08   -0.898252194924903E-07 
   11    8   -0.630174049861897E-08    0.245446551115189E-07 
   11    9   -0.310727993686101E-07    0.420682585407293E-07 
   11   10   -0.522444922089646E-07   -0.184216383163730E-07 
   11   11    0.462340571475799E-07   -0.696711251523700E-07 
   12    0    0.364361922614572E-07    0.000000000000000E+00 
   12    1   -0.535856270449833E-07   -0.431656037232084E-07 
   12    2    0.142665936828290E-07    0.310937162901519E-07 
   12    3    0.396211271409354E-07    0.250622628960907E-07 
   12    4   -0.677284618097416E-07    0.383823469584472E-08 
   12    5    0.308775410911475E-07    0.759066416791107E-08 
   12    6    0.313421100991039E-08    0.389801868153392E-07 
   12    7   -0.190517957483100E-07    0.357268620672699E-07 
   12    8   -0.258866871220994E-07    0.169362538600173E-07 
   12    9    0.419147664170774E-07    0.249625636010847E-07 
   12   10   -0.619955079880774E-08    0.309398171578482E-07 
   12   11    0.113644952089825E-07   -0.638551119140755E-08 
   12   12   -0.242377235648074E-08   -0.110993698692881E-07 
   13    0    0.417293021685027E-07    0.000000000000000E+00 
   13    1   -0.514421009206120E-07    0.386910482386637E-07 
   13    2    0.553118515702855E-07   -0.626943474947239E-07 
   13    3   -0.215570388049647E-07    0.976866679032941E-07 
   13    4   -0.365127902764428E-08   -0.117512717960252E-07 
   13    5    0.583702330251927E-07    0.672244622794413E-07 
   13    6   -0.350445484464565E-07   -0.627356859556194E-08 
   13    7    0.301412465951003E-08   -0.732068659961970E-08 
   13    8   -0.100532117993105E-07   -0.985787032645980E-08 
   13    9    0.247702773255876E-07    0.458875609452034E-07 
   13   10    0.411080488026299E-07   -0.368403909177750E-07 
   13   11   -0.445213404110823E-07   -0.484141059455725E-08 
   13   12   -0.313130628228171E-07    0.879376493656904E-07 
   13   13   -0.612004732532594E-07    0.681501470347338E-07 
   14    0   -0.226681154094404E-07    0.000000000000000E+00 
   14    1   -0.187724885657433E-07    0.288602024410603E-07 
   14    2   -0.359186725681205E-07   -0.405327051356456E-08 
   14    3    0.365140497848863E-07    0.196941950099316E-07 
   14    4    0.160184144282003E-08   -0.226625156915448E-07 
   14    5    0.293092637238844E-07   -0.167894170071708E-07 
   14    6   -0.190674352461174E-07    0.245661933018802E-08 
   14    7    0.376297554551457E-07   -0.393364671078740E-08 
   14    8   -0.349417459823694E-07   -0.154475521495720E-07 
   14    9    0.319517827137725E-07    0.284642263273996E-07 
   14   10    0.388008374622606E-07   -0.129351349981739E-08 
   14   11    0.156475715628498E-07   -0.390403676399681E-07 
   14   12    0.846317130098805E-08   -0.311211374558506E-07 
   14   13    0.322437165995707E-07    0.451472951879378E-07 
   14   14   -0.518650713590088E-07   -0.481611072612157E-08 
   15    0    0.219216154508434E-08    0.000000000000000E+00 
   15    1    0.942942849227573E-08    0.104833279954842E-07 
   15    2   -0.205302993025519E-07   -0.303007325301024E-07 
   15    3    0.534162906407382E-07    0.176634209489453E-07 
   15    4   -0.401721760931603E-07    0.681343055884874E-08 
   15    5    0.122424622638639E-07    0.762075300880907E-08 
   15    6    0.328522324096078E-07   -0.364691072357445E-07 
   15    7    0.596540954755518E-07    0.507394600032322E-08 
   15    8   -0.320875010777956E-07    0.221729246735453E-07 
   15    9    0.132999993095746E-07    0.379914748780028E-07 
   15   10    0.102639183602256E-07    0.146906332576870E-07 
   15   11   -0.130462854422872E-08    0.185210748548004E-07 
   15   12   -0.324147324255678E-07    0.156080393130757E-07 
   15   13   -0.283649640930711E-07   -0.457549001836693E-08 
   15   14    0.519862755176957E-08   -0.243950380180467E-07 
   15   15   -0.190443752608698E-07   -0.469941074395975E-08 
   16    0   -0.471037252266068E-08    0.000000000000000E+00 
   16    1    0.261852447892310E-07    0.333423726704204E-07 
   16    2   -0.245117847209327E-07    0.280314862616323E-07 
   16    3   -0.339147390918482E-07   -0.213401079775597E-07 
   16    4    0.408540187833972E-07    0.479877498751224E-07 
   16    5   -0.121209356470009E-07   -0.344283772175451E-08 
   16    6    0.138747261713477E-07   -0.355969015666675E-07 
   16    7   -0.806188863620981E-08   -0.865178660695190E-08 
   16    8   -0.212044215093991E-07    0.540717302974902E-08 
   16    9   -0.224151915247857E-07   -0.396686472741101E-07 
   16   10   -0.118064629182132E-07    0.115374382529194E-07 
   16   11    0.191118463013820E-07   -0.320054944714364E-08 
   16   12    0.195631858722835E-07    0.672539764312181E-08 
   16   13    0.137744095920323E-07    0.104745467774466E-08 
   16   14   -0.193451561175034E-07   -0.386522367774771E-07 
   16   15   -0.144196100302905E-07   -0.327760669358925E-07 
   16   16   -0.382992884797529E-07    0.295860714710389E-08 
   17    0    0.191875988417387E-07    0.000000000000000E+00 
   17    1   -0.253645204657949E-07   -0.317042482135934E-07 
   17    2   -0.201017447758198E-07    0.681376058343928E-08 
   17    3    0.630839562027722E-08    0.508308654394536E-08 
   17    4    0.647515778433184E-08    0.253354668311939E-07 
   17    5   -0.162193992995631E-07    0.803001732911605E-08 
   17    6   -0.117320425248787E-07   -0.294401279670302E-07 
   17    7    0.249764681793243E-07   -0.438554429095768E-08 
   17    8    0.390006528364112E-07    0.363439990543582E-08 
   17    9    0.347901841118582E-08   -0.276427048005195E-07 
   17   10   -0.379589397747057E-08    0.183778246503248E-07 
   17   11   -0.160174948249694E-07    0.110870581174922E-07 
   17   12    0.287221517856901E-07    0.204582230384783E-07 
   17   13    0.165063239919241E-07    0.201356543378344E-07 
   17   14   -0.142747771121823E-07    0.115742828658331E-07 
   17   15    0.553783372805876E-08    0.524340656496201E-08 
   17   16   -0.303992561155655E-07    0.360274437895663E-08 
   17   17   -0.346971352906772E-07   -0.198743584916705E-07 
   18    0    0.609862871807421E-08    0.000000000000000E+00 
   18    1    0.720152312518112E-08   -0.392970098282429E-07 
   18    2    0.147251428316923E-07    0.108333873087810E-07 
   18    3   -0.504457513185901E-08   -0.584923266822307E-08 
   18    4    0.546253493560536E-07   -0.786748537792632E-09 
   18    5    0.597651128344404E-08    0.261398616579252E-07 
   18    6    0.135775785802306E-07   -0.132446105152748E-07 
   18    7    0.679347259309753E-08    0.746790172709486E-08 
   18    8    0.304992690074792E-07    0.434439798188153E-08 
   18    9   -0.195696822181729E-07    0.361306774690565E-07 
   18   10    0.521528994919861E-08   -0.424068379064049E-08 
   18   11   -0.688640849277642E-08    0.211925103597343E-08 
   18   12   -0.297489841938418E-07   -0.165609165083241E-07 
   18   13   -0.625379710747338E-08   -0.349391913136191E-07 
   18   14   -0.829497209425585E-08   -0.128330547008713E-07 
   18   15   -0.404690219510979E-07   -0.202806589920597E-07 
   18   16    0.101653114622966E-07    0.650425930141024E-08 
   18   17    0.348327556578355E-08    0.437638847248534E-08 
   18   18    0.299062325911737E-08   -0.108590059665012E-07 
   19    0   -0.330313643444747E-08    0.000000000000000E+00 
   19    1   -0.897158188216359E-08    0.119351790338528E-08 
   19    2    0.357388371471962E-07   -0.237015979063608E-08 
   19    3   -0.756032556254074E-08    0.110290369074984E-08 
   19    4    0.158085379630551E-07   -0.814278758437249E-08 
   19    5    0.103889228527421E-07    0.274505357043879E-07 
   19    6   -0.479964549701996E-08    0.187563790081893E-07 
   19    7    0.564134377468315E-08   -0.874192018355915E-08 
   19    8    0.298891166523339E-07   -0.999215899666339E-08 
   19    9    0.328811224665918E-08    0.723785481495213E-08 
   19   10   -0.338785599522056E-07   -0.757904101437065E-08 
   19   11    0.163045986043663E-07    0.103569678194585E-07 
   19   12   -0.243982295344659E-08    0.945624397342968E-08 
   19   13   -0.754129981811845E-08   -0.285237528001317E-07 
   19   14   -0.474367454667135E-08   -0.128504936248119E-07 
   19   15   -0.175897089065384E-07   -0.140715825139566E-07 
   19   16   -0.217451255571334E-07   -0.709767792051299E-08 
   19   17    0.288044882586693E-07   -0.153426366311999E-07 
   19   18    0.350090299803503E-07   -0.968981039886231E-08 
   19   19   -0.270413871892665E-08    0.519745751787224E-08 
   20    0    0.215591507033563E-07    0.000000000000000E+00 
   20    1    0.556769420352798E-08    0.702905214885703E-08 
   20    2    0.202918579297024E-07    0.171846424016348E-07 
   20    3   -0.475067130843254E-08    0.388999361019568E-07 
   20    4    0.427003612219999E-08   -0.226257406735223E-07 
   20    5   -0.101257213338814E-07   -0.825992352502226E-08 
   20    6    0.121620484764481E-07   -0.436402383882308E-08 
   20    7   -0.212263060369801E-07   -0.705320978718748E-09 
   20    8    0.509516213860775E-08    0.215379201882923E-08 
   20    9    0.171870322955948E-07   -0.701274288613723E-08 
   20   10   -0.322958167727745E-07   -0.478973340317704E-08 
   20   11    0.144499209074778E-07   -0.191512412341219E-07 
   20   12   -0.646750566771670E-08    0.181349181903443E-07 
   20   13    0.274124121971504E-07    0.676382000592810E-08 
   20   14    0.115262785907965E-07   -0.143820399199974E-07 
   20   15   -0.257906406507802E-07   -0.865059449398313E-09 
   20   16   -0.124242154429344E-07   -0.343443068287856E-09 
   20   17    0.450343354729068E-08   -0.137322621927409E-07 
   20   18    0.153567048646754E-07   -0.897483616979646E-09 
   20   19   -0.303011942827495E-08    0.109224394426113E-07 
   20   20    0.373507214738094E-08   -0.126949126479726E-07 
   21    0    0.624977184727142E-08    0.000000000000000E+00 
   21    1   -0.161584960390177E-07    0.286922505251025E-07 
   21    2   -0.561669574474890E-08    0.417895773465870E-08 
   21    3    0.191460394251428E-07    0.227233961252948E-07 
   21    4   -0.510972529743564E-08    0.189848723340178E-07 
   21    5    0.260621810044519E-08    0.109716488096280E-08 
   21    6   -0.135494262411299E-07    0.137121217327310E-10 
   21    7   -0.661044220014108E-08    0.252121037411060E-08 
   21    8   -0.172312779180303E-07    0.214879443753672E-08 
   21    9    0.158563800022178E-07    0.907842486286134E-08 
   21   10   -0.113997405607735E-07   -0.114046472237802E-08 
   21   11    0.689424285619426E-08   -0.355785033947298E-07 
   21   12   -0.332626248475741E-08    0.147748999984542E-07 
   21   13   -0.193635228526149E-07    0.139380032642790E-07 
   21   14    0.202649547927933E-07    0.735384450372034E-08 
   21   15    0.175731363406368E-07    0.103689708517120E-07 
   21   16    0.749270977345996E-08   -0.665348605902996E-08 
   21   17   -0.746685761804970E-08   -0.737748863908340E-08 
   21   18    0.264707224617052E-07   -0.110721542080636E-07 
   21   19   -0.272027235635120E-07    0.165551841156344E-07 
   21   20   -0.269495467757536E-07    0.159189204425363E-07 
   21   21    0.845910170806602E-08   -0.365321656984787E-08 
   22    0   -0.107772567310914E-07    0.000000000000000E+00 
   22    1    0.156810174592028E-07   -0.384060273586347E-08 
   22    2   -0.264892851416925E-07   -0.116465930314882E-08 
   22    3    0.113438875568191E-07    0.101214315714440E-07 
   22    4   -0.361500365031197E-08    0.187274809330152E-07 
   22    5    0.968067785291660E-10   -0.318496276236828E-09 
   22    6    0.101648080995911E-07   -0.550763247915452E-08 
   22    7    0.174645378087162E-07    0.474747333054533E-08 
   22    8   -0.234988234728281E-07    0.381455946013761E-08 
   22    9    0.668287159542480E-08    0.837665919933101E-08 
   22   10    0.562736153524834E-08    0.223513690166568E-07 
   22   11   -0.481530593564480E-08   -0.175636129350211E-07 
   22   12    0.241844608782850E-08   -0.820832230591832E-08 
   22   13   -0.171591275582331E-07    0.195127463989993E-07 
   22   14    0.108704662432765E-07    0.832671558042586E-08 
   22   15    0.257664603930916E-07    0.471142682022319E-08 
   22   16    0.112824875831035E-09   -0.728899313273568E-08 
   22   17    0.856694818662282E-08   -0.146000461088908E-07 
   22   18    0.101968023898073E-07   -0.162050193177967E-07 
   22   19    0.140571747858935E-07   -0.336236450688042E-08 
   22   20   -0.167728511120447E-07    0.195826677648397E-07 
   22   21   -0.253159625587767E-07    0.239692995280167E-07 
   22   22   -0.100792291077701E-07    0.233500809593777E-08 
   23    0   -0.222592369353670E-07    0.000000000000000E+00 
   23    1    0.917464890610878E-08    0.161952286471013E-07 
   23    2   -0.143936331663087E-07   -0.458573617697428E-08 
   23    3   -0.240771916404486E-07   -0.174957518276718E-07 
   23    4   -0.238684204898637E-07    0.829238827954860E-08 
   23    5   -0.883211625731366E-09    0.164665275280578E-09 
   23    6   -0.119276378612301E-07    0.161304545400405E-07 
   23    7   -0.688740550551295E-08   -0.191397852420673E-08 
   23    8    0.736058661754965E-08    0.182352729338449E-09 
   23    9    0.181819233113364E-08   -0.128499684565167E-07 
   23   10    0.168616355823109E-07   -0.226964546882757E-08 
   23   11    0.923106099566123E-08    0.142937327655739E-07 
   23   12    0.164661359096641E-07   -0.120086167532985E-07 
   23   13   -0.116116647358326E-07   -0.520507359211939E-08 
   23   14    0.695698850168684E-08   -0.146371127245051E-08 
   23   15    0.189460333876311E-07   -0.359114572449078E-08 
   23   16    0.590787056073298E-08    0.110767537310355E-07 
   23   17   -0.546344574978046E-08   -0.129336873674311E-07 
   23   18    0.854349524918403E-08   -0.148171754135083E-07 
   23   19   -0.547552535534081E-08    0.106567231826728E-07 
   23   20    0.797074457466334E-08   -0.545405930990654E-08 
   23   21    0.157093052771851E-07    0.117414500770336E-07 
   23   22   -0.179741548069429E-07    0.473423743082551E-08 
   23   23    0.305532132709428E-08   -0.120563683028849E-07 
   24    0   -0.729311730529204E-10    0.000000000000000E+00 
   24    1   -0.273044176963461E-08   -0.153266620785052E-08 
   24    2    0.959964424565557E-09    0.151543957384410E-07 
   24    3   -0.480866675119318E-08   -0.973533536173374E-08 
   24    4    0.597169159494454E-08    0.508911964925789E-08 
   24    5   -0.711793314132635E-08   -0.214262378272962E-07 
   24    6    0.362207110028164E-08    0.136044582864928E-08 
   24    7   -0.606363568035722E-08    0.491672724676752E-08 
   24    8    0.154072555437137E-07   -0.360812244996912E-08 
   24    9   -0.115751520988093E-07   -0.178355593524251E-07 
   24   10    0.109719273685843E-07    0.212569237716145E-07 
   24   11    0.151845349640653E-07    0.178040482985835E-07 
   24   12    0.114861865026666E-07   -0.617826525931362E-08 
   24   13   -0.302205191374829E-08    0.293476391139084E-08 
   24   14   -0.199569522298403E-07   -0.204641456836742E-08 
   24   15    0.635490900444178E-08   -0.159566972644154E-07 
   24   16    0.844903917752228E-08    0.272024146612831E-08 
   24   17   -0.119426848977209E-07   -0.644428063179946E-08 
   24   18   -0.369384147455590E-09   -0.103054147076774E-07 
   24   19   -0.444607720193391E-08   -0.867518429152269E-08 
   24   20   -0.565651494083195E-08    0.864212722355149E-08 
   24   21    0.553911666086030E-08    0.141196394253887E-07 
   24   22    0.399587089888849E-08   -0.393596776288303E-08 
   24   23   -0.619078276892964E-08   -0.882037161858174E-08 
   24   24    0.126584862526522E-07   -0.368695020064771E-08 
   25    0    0.320598734329939E-08    0.000000000000000E+00 
   25    1    0.637138847616777E-08   -0.915694492187822E-08 
   25    2    0.227175340858446E-07    0.934694216870053E-08 
   25    3   -0.968121214416588E-08   -0.143065467749278E-07 
   25    4    0.101626991717437E-07    0.296899934977453E-09 
   25    5   -0.110411938574063E-07   -0.412570457156021E-09 
   25    6    0.162742318697154E-07    0.163730412787704E-09 
   25    7    0.959277390590897E-08   -0.662254501807672E-08 
   25    8    0.208273934296886E-08    0.183591500651598E-09 
   25    9   -0.303729337788405E-07    0.229531799333138E-07 
   25   10    0.899521256113324E-08   -0.441650495583955E-08 
   25   11    0.188958913097120E-08    0.103199175018396E-07 
   25   12   -0.776048780369275E-08    0.115712288732820E-07 
   25   13    0.796380614113776E-08   -0.116510263641772E-07 
   25   14   -0.199222544811326E-07    0.656132857540598E-08 
   25   15   -0.444589479364883E-08   -0.741171825487876E-08 
   25   16    0.130555080737715E-08   -0.129019675679949E-07 
   25   17   -0.155113752991790E-07   -0.370458425865622E-08 
   25   18    0.153751891476056E-08   -0.148836219419485E-07 
   25   19    0.776475227215034E-08    0.980656239211915E-08 
   25   20   -0.798489257329358E-08   -0.963153241628964E-09 
   25   21    0.106934402783522E-07    0.775981477961148E-08 
   25   22   -0.141390853980964E-07    0.386144288368210E-08 
   25   23    0.858533773832998E-08   -0.126390122596887E-07 
   25   24    0.424152224663866E-08   -0.839704764872638E-08 
   25   25    0.104936582302616E-07    0.494806311613958E-08 
   26    0    0.589238392271432E-08    0.000000000000000E+00 
   26    1   -0.143319110570104E-09   -0.664887064948804E-08 
   26    2   -0.158606093368116E-08    0.115037894054995E-07 
   26    3    0.151051173837328E-07    0.404520346602643E-08 
   26    4    0.190768148829694E-07   -0.202269514773407E-07 
   26    5    0.131550147271952E-07    0.782252579346489E-08 
   26    6    0.960350026057024E-08   -0.105154531780729E-07 
   26    7   -0.158724772386567E-08    0.444756355938498E-08 
   26    8    0.347082300065802E-08    0.178107747251334E-08 
   26    9   -0.130951109455882E-07    0.712297780037371E-09 
   26   10   -0.149687595268914E-07   -0.566127055819274E-08 
   26   11   -0.462743446256929E-08    0.167544322436372E-08 
   26   12   -0.170122946545135E-07    0.233132044906936E-08 
   26   13   -0.175513139698735E-09    0.153659737622840E-08 
   26   14    0.766776606118743E-08    0.806474326944995E-08 
   26   15   -0.133588337938914E-07    0.829767721535204E-08 
   26   16    0.158568206592065E-08   -0.639944339909513E-08 
   26   17   -0.120031981259207E-07    0.791630313460838E-08 
   26   18   -0.129374429771876E-07    0.489690075031118E-08 
   26   19   -0.226428688962503E-08    0.376903918895651E-08 
   26   20    0.623141756506535E-08   -0.119791260868403E-07 
   26   21   -0.916114981221180E-08    0.194168847145814E-08 
   26   22    0.103782069803566E-07    0.706517248734750E-08 
   26   23    0.102380077761227E-08    0.107241407841736E-07 
   26   24    0.902984567710755E-08    0.147824676612315E-07 
   26   25    0.378138208737188E-08   -0.580905785330850E-09 
   26   26    0.658079776883815E-09    0.207680147905818E-08 
   27    0    0.361360196571796E-08    0.000000000000000E+00 
   27    1    0.286137900927265E-08    0.158725486281296E-08 
   27    2    0.660064834219505E-09   -0.616368940081158E-09 
   27    3    0.353084058094838E-08    0.104827640336862E-07 
   27    4   -0.159926055085654E-08    0.805817743399237E-08 
   27    5    0.146091224731707E-07    0.149905332122623E-07 
   27    6    0.496820847478438E-08    0.641225991294182E-08 
   27    7   -0.111317957339811E-07   -0.690523363977540E-08 
   27    8   -0.803739017001217E-08   -0.876275609221432E-08 
   27    9    0.306632501410630E-08    0.112697745241444E-07 
   27   10   -0.135132202071968E-07    0.126794123062642E-08 
   27   11    0.223670596410234E-08   -0.943953879456798E-08 
   27   12   -0.109642570429207E-07    0.206992468828630E-08 
   27   13   -0.457176348659714E-08   -0.467338928930228E-08 
   27   14    0.153376443115287E-07    0.118222605412149E-07 
   27   15   -0.213222954352628E-08    0.147112108119539E-08 
   27   16    0.257210136783173E-08    0.316997379252524E-08 
   27   17    0.442472573205382E-08    0.504761416469733E-09 
   27   18   -0.207164338504850E-08    0.787754369082609E-08 
   27   19   -0.272870630975609E-09   -0.240006576483770E-08 
   27   20   -0.127144544010381E-08    0.366035679633390E-08 
   27   21    0.492315735762124E-08   -0.665258577857072E-08 
   27   22   -0.582122832762220E-08    0.289084691543489E-08 
   27   23   -0.532113281672823E-08   -0.115996372993086E-07 
   27   24    0.384567638284934E-09   -0.224003398737297E-08 
   27   25    0.120948180878227E-07    0.600985436782061E-08 
   27   26   -0.682518753697823E-08   -0.238674628687537E-08 
   27   27    0.806327474423184E-08    0.107346749127698E-08 
   28    0   -0.977255422916287E-08    0.000000000000000E+00 
   28    1   -0.527777339142806E-08    0.871875125510949E-08 
   28    2   -0.150090481289917E-07   -0.825563771463205E-08 
   28    3    0.290294937280847E-08    0.101837144304814E-07 
   28    4   -0.141319149128493E-08    0.112846526653792E-07 
   28    5    0.119738591371710E-07   -0.472242194400193E-08 
   28    6   -0.461126083102582E-08    0.129268989665903E-07 
   28    7   -0.258748370052781E-08    0.565213308123501E-08 
   28    8   -0.306928868864284E-08   -0.175682908302310E-08 
   28    9    0.928183302402545E-08   -0.126959520585365E-07 
   28   10   -0.106274337864870E-07    0.796751674876720E-08 
   28   11   -0.354427125144653E-08   -0.183862678673097E-08 
   28   12   -0.867371289634820E-09    0.103395485690751E-07 
   28   13    0.212618929075416E-08    0.590056882694103E-08 
   28   14   -0.812189419768024E-08   -0.128622517938612E-07 
   28   15   -0.122505585322372E-07   -0.218594850522785E-08 
   28   16   -0.463917494351985E-08   -0.132800356759863E-07 
   28   17    0.137958219363920E-07   -0.498351924534829E-08 
   28   18    0.570555920373592E-08   -0.333600932471709E-08 
   28   19    0.627297961903630E-08    0.241073344873701E-07 
   28   20   -0.152120555556299E-08    0.649886617706710E-08 
   28   21    0.677747366709958E-08    0.661576962140779E-08 
   28   22   -0.222934124422372E-08   -0.731029076167330E-08 
   28   23    0.688876206673423E-08    0.266797073428534E-08 
   28   24    0.110608688152135E-07   -0.138835544251802E-07 
   28   25    0.736537968091873E-08   -0.174514354504311E-07 
   28   26    0.120692411251010E-07    0.382709374830503E-08 
   28   27   -0.803340183071320E-08    0.120736908869675E-08 
   28   28    0.681370843715606E-08    0.668225806608457E-08 
   29    0   -0.527746754099948E-08    0.000000000000000E+00 
   29    1    0.402826140059801E-08   -0.135296840179441E-07 
   29    2   -0.238046076294983E-08   -0.244184054950082E-08 
   29    3    0.381345855208976E-08   -0.115771835455321E-07 
   29    4   -0.253893575255871E-07    0.239984128186089E-08 
   29    5   -0.798305255657438E-08    0.595641758451428E-08 
   29    6    0.116502090437885E-07    0.103812293223298E-07 
   29    7   -0.358981839060716E-08   -0.315011977031452E-08 
   29    8   -0.195786885380484E-07    0.957895740289937E-08 
   29    9    0.771402300679876E-10    0.269312876471732E-08 
   29   10    0.137590285813959E-07    0.547154675676111E-10 
   29   11   -0.622867628933717E-08    0.686722208852569E-08 
   29   12   -0.779981834047572E-09   -0.485658030003158E-08 
   29   13   -0.144812340451330E-08   -0.263711856540103E-08 
   29   14   -0.307812921570604E-08   -0.472261465868537E-08 
   29   15   -0.948432420499438E-08   -0.705030688974090E-08 
   29   16    0.154322038067069E-09   -0.146825574130345E-07 
   29   17   -0.228273775356525E-08   -0.471163006045121E-08 
   29   18   -0.355106125139237E-08   -0.282199653228616E-08 
   29   19   -0.621168166288385E-08    0.681691094221985E-08 
   29   20   -0.812200183965354E-08    0.578588285285861E-08 
   29   21   -0.996030780737504E-08   -0.513975930555701E-08 
   29   22    0.117101537814944E-07   -0.123854030281502E-08 
   29   23   -0.191147050157587E-08    0.221790721278380E-08 
   29   24    0.312741214136979E-09   -0.223925971753038E-08 
   29   25    0.579290403721110E-08    0.874253014816183E-08 
   29   26    0.786549069288201E-08   -0.681508876149489E-08 
   29   27   -0.773198981621778E-08   -0.707562556147988E-09 
   29   28    0.953456435468314E-08   -0.573781273256966E-08 
   29   29    0.128040811994594E-07   -0.521258169406697E-08 
   30    0    0.625621213547417E-08    0.000000000000000E+00 
   30    1    0.272973894343765E-09    0.108707548640056E-08 
   30    2   -0.996215862964394E-08   -0.117342214078429E-08 
   30    3    0.391860062241846E-08   -0.137359105421668E-07 
   30    4   -0.166575883758833E-08   -0.375777572176683E-08 
   30    5   -0.263267114706065E-08   -0.567403766994914E-08 
   30    6   -0.159153849215255E-09    0.836497154296697E-09 
   30    7    0.239274288894514E-08    0.381285382471467E-08 
   30    8    0.465542676614469E-08    0.327048201916125E-08 
   30    9   -0.802172747032548E-08   -0.117090583545495E-07 
   30   10    0.488895529179515E-08   -0.495634270010704E-08 
   30   11   -0.954981801117935E-08    0.103881068776000E-07 
   30   12    0.170984337912031E-07   -0.107359752881943E-07 
   30   13    0.137936659250078E-07    0.297919082214967E-08 
   30   14    0.483530301509899E-08    0.812217989910379E-08 
   30   15    0.655499236041115E-09   -0.106314990319328E-08 
   30   16   -0.105657801355094E-07    0.414308438285600E-08 
